Time,C100Hz,ESR100Hz,C1kHz,ESR1kHz,C10kHz,ESR10kHz
0,12.128,9.4845,11.162,0.70063,10.982,0.16675
1.22055555555556,12.189,8.8706,11.204,0.71257,11.001,0.1664
2.44083333333333,12.255,9.0022,11.236,0.7235,10.948,0.15935
3.66111111111111,12.303,9.1746,11.255,0.7331,11.048,0.16402
4.88166666666667,12.344,9.3373,11.27,0.74363,11.106,0.16283
6.1025,12.371,9.4877,11.276,0.75448,11.062,0.16479
7.32333333333333,12.392,9.6308,11.281,0.76054,11.073,0.16546
8.54444444444444,12.406,9.7737,11.279,0.76447,11.075,0.16737
9.76527777777778,12.422,9.9079,11.279,0.77243,11.078,0.16655
10.9861111111111,12.435,10.026,11.278,0.77899,11.065,0.1659
12.2066666666667,12.445,10.147,11.274,0.78104,11.065,0.16854
13.4275,12.455,10.263,11.272,0.78757,11.079,0.1675
14.6483333333333,12.465,10.383,11.27,0.79087,11.046,0.16861
15.8688888888889,12.471,10.502,11.264,0.79381,11.045,0.16967
17.0897222222222,12.475,10.607,11.259,0.80169,11.019,0.17282
18.3108333333333,12.484,10.704,11.257,0.80644,11.04,0.16938
19.5316666666667,12.492,10.8,11.252,0.8119,11.027,0.16914
20.7527777777778,12.495,10.897,11.248,0.81621,11.016,0.17009
21.9738888888889,12.501,10.989,11.242,0.81906,10.909,0.21109
23.1944444444444,12.507,11.077,11.239,0.82065,11.012,0.17163
24.415,12.51,11.157,11.234,0.82586,11.009,0.17057
25.6358333333333,12.512,11.23,11.228,0.82738,11,0.17254
26.8566666666667,12.518,11.31,11.227,0.83351,10.994,0.17293
28.0775,12.52,11.386,11.223,0.83403,10.994,0.17313
29.2983333333333,12.527,11.458,11.221,0.83945,11.038,0.16284
30.5191666666667,12.53,11.534,11.217,0.83744,20.846,0.73453
31.74,12.536,11.6,11.215,0.84163,10.983,0.17472
32.9616666666667,12.538,11.67,11.212,0.84632,10.961,0.17474
34.1827777777778,12.541,11.742,11.209,0.85047,10.986,0.17563
35.4033333333333,12.544,11.801,11.206,0.84929,10.967,0.1764
36.6241666666667,12.547,11.867,11.203,0.85499,10.969,0.17585
37.8447222222222,12.552,11.93,11.2,0.8559,10.98,0.17558
39.0655555555556,12.554,11.99,11.198,0.86147,10.967,0.17585
40.2863888888889,12.559,12.048,11.193,0.86357,10.952,0.17703
41.5075,12.563,12.105,11.191,0.86298,10.972,0.17664
42.7283333333333,12.566,12.169,11.187,0.86703,10.96,0.17698
43.9488888888889,12.568,12.221,11.185,0.87148,10.949,0.17778
45.1697222222222,12.567,12.265,11.179,0.87256,10.932,0.17953
46.3905555555556,12.568,12.317,11.176,0.87335,10.933,0.18042
47.6113888888889,12.566,12.37,11.172,0.87562,10.942,0.17908
48.8319444444444,12.572,12.42,11.17,0.87696,10.941,0.18039
50.0527777777778,12.57,12.483,11.167,0.87969,10.799,0.17748
51.2733333333333,12.572,12.525,11.163,0.88247,10.935,0.18184
52.4941666666667,12.573,12.568,11.161,0.88115,10.921,0.18075
53.715,12.575,12.621,11.161,0.88236,10.915,0.18305
54.9355555555556,12.574,12.663,11.156,0.88563,10.913,0.18352
56.1566666666667,12.574,12.717,11.152,0.88733,10.93,0.17992
57.3772222222222,12.576,12.76,11.15,0.88641,10.91,0.18374
58.5983333333333,12.575,12.797,11.148,0.8892,10.924,0.18381
59.8194444444444,12.577,12.832,11.147,0.88886,10.916,0.18438
61.0402777777778,12.574,12.874,11.141,0.89177,10.915,0.18583
62.2611111111111,12.575,12.913,11.141,0.88991,10.914,0.18435
63.4819444444444,12.578,12.965,11.137,0.89368,10.903,0.18392
64.7025,12.579,12.992,11.137,0.8938,10.895,0.18714
